,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
80,5,1,2,1,20,2,3593,3516,344,64,90,"$16,201.93"
81,5,1,2,1,21,1,3037,3668,148,76,96,Paid:
82,5,1,2,1,21,2,3593,3671,34,63,93,$
83,5,1,2,1,21,3,3646,3675,291,60,96,"10,000.00"
84,5,1,3,1,1,1,343,4063,191,53,96,Notes:
85,5,1,4,1,1,1,344,4180,203,53,95,Please
86,5,1,4,1,1,2,570,4180,233,53,95,transfer
87,5,1,4,1,1,3,824,4193,133,53,96,your
88,5,1,4,1,1,4,981,4184,260,62,96,payment
89,5,1,4,1,1,5,1263,4184,72,49,95,to:
90,5,1,4,1,1,6,1361,4179,302,67,94,Corporate
91,5,1,4,1,1,7,1688,4179,223,67,96,Gadget
92,5,1,4,1,1,8,1935,4179,115,54,96,Sdn
93,5,1,4,1,1,9,2079,4180,115,53,96,Bhd
94,5,1,4,1,2,1,340,4276,113,53,96,Via:
95,5,1,4,1,2,2,482,4276,181,53,96,Public
96,5,1,4,1,2,3,689,4276,153,53,96,Bank
97,5,1,4,1,3,1,339,4372,248,53,96,Account
98,5,1,4,1,3,2,612,4372,257,53,93,Number:
99,5,1,4,1,3,3,899,4373,522,52,91,125-00-815155-9
100,5,1,5,1,1,1,339,4570,211,53,96,Terms:
101,5,1,6,1,1,1,339,4687,116,53,96,The
102,5,1,6,1,1,2,477,4687,233,53,95,transfer
103,5,1,6,1,1,3,734,4687,109,53,96,and
104,5,1,6,1,1,4,869,4687,269,66,96,provision
105,5,1,6,1,1,5,1163,4687,92,53,96,fee
106,5,1,6,1,1,6,1280,4700,95,40,96,are
107,5,1,6,1,1,7,1400,4687,171,53,96,borne
108,5,1,6,1,1,8,1597,4687,67,66,96,by
109,5,1,6,1,1,9,1687,4700,293,53,96,"company,"
110,5,1,6,1,2,1,340,4783,99,53,95,We
111,5,1,6,1,2,2,466,4783,216,53,95,receive
112,5,1,6,1,2,3,708,4783,45,51,95,in
113,5,1,6,1,2,4,778,4783,83,53,95,full
114,5,1,6,1,2,5,887,4787,227,49,95,amount
115,5,1,6,1,2,6,1138,4796,67,40,95,as
116,5,1,6,1,2,7,1232,4783,315,53,95,mentioned
117,5,1,6,1,2,8,1573,4783,183,53,96,above
118,5,1,6,1,2,9,1780,4783,109,53,96,and
119,5,1,6,1,2,10,1916,4783,190,53,96,before
120,5,1,6,1,2,11,2130,4783,126,53,96,due.
